Temperature,Humidity,WindSpeed,Precipitation,Weather,ColdDrinks,UmbrellaRaincoat,HotDrinks,Medicines
34,40,5,5,Sunny,120,5,15,10
29,60,6,10,Sunny,100,8,20,12
22,85,10,80,Rainy,30,90,80,25
26,70,9,35,Overcast,60,40,50,15
35,35,4,2,Sunny,140,3,10,8
20,90,12,90,Rainy,25,95,90,30
27,60,6,40,Overcast,70,35,45,18
32,45,5,8,Sunny,130,4,12,9
23,78,10,45,Overcast,55,50,60,20
33,38,4,3,Sunny,135,3,11,8
19,92,13,95,Rainy,20,100,95,35
28,58,7,38,Overcast,65,38,48,17
25,65,8,42,Overcast,62,42,52,16
21,88,9,88,Rainy,28,97,88,28
30,48,6,6,Sunny,115,6,18,11
24,68,7,40,Overcast,60,45,55,19
20,85,10,93,Rainy,22,99,92,33
31,50,5,7,Sunny,125,5,14,10
27,65,7,39,Overcast,68,40,48,18
22,82,9,85,Rainy,26,94,85,29
